Run,Tokens,,,,,Pylint score,SonarQube,,,,,,,,,,,
,Input tokens,Output tokens,Cache read tokens,Cache create tokens,Tokens summary,,Security,,,,Reliability,,,,Maintainability,,,
SeatsReservation-REQ2-Claude-Haiku-5,370,34377,2669772,48168,2752687,7.81,0,1,0,1,1,4,2,7,523,570,166,1259
SeatsReservation-REQ2-Claude-Sonnet-1,88,80159,4089623,101453,4271323,7.84,0,0,1,1,1,0,0,1,14,140,47,201
SeatsReservation-REQ2-Claude-Sonnet-2,31,16913,1123143,37713,1177800,8.73,0,1,4,5,0,1,1,2,12,38,23,73
SeatsReservation-REQ2-Claude-Sonnet-3,28,16407,9998997,44476,10059908,9.14,0,6,15,21,16,42,23,81,1783,1421,1880,5084
SeatsReservation-REQ2-Gemini-Flash-1,6446362,62189,5332503,0,11841054,4.77,0,0,0,0,0,0,0,0,0,0,0,0
SeatsReservation-REQ2-Gemini-Flash-2,1961136,52531,1230049,0,3243716,6.33,0,0,0,0,0,0,0,0,0,1,0,1
SeatsReservation-REQ2-Gemini-Flash-3,3222447,38445,2813497,0,6074389,5.23,0,0,0,0,0,0,0,0,4,14,21,39
SeatsReservation-REQ3-Claude-Haiku-1,490,41822,2962548,64704,3069564,8.12,0,1,0,1,3,10,2,15,552,564,275,1391
SeatsReservation-REQ3-Claude-Haiku-2,194,26251,839476,30685,896606,8.43,0,3,13,16,3,11,5,19,587,519,685,1791
SeatsReservation-REQ3-Claude-Haiku-3,338,34068,1843087,47615,1925108,,0,0,0,0,0,1,0,1,20,6,3,29
SeatsReservation-REQ3-Claude-Haiku-4,218,27371,869610,33837,931036,7.29,0,4,18,22,6,28,13,47,1169,761,1188,3118
SeatsReservation-REQ3-Claude-Haiku-5,290,30804,1641325,44592,1717011,7.81,0,1,2,3,1,2,3,6,530,564,158,1252
SeatsReservation-REQ3-Claude-Sonnet-1,39,27079,1721363,57087,1805568,8.66,0,6,15,21,14,43,23,80,1827,1427,1998,5252
SeatsReservation-REQ3-Claude-Sonnet-2,1649,71895,2858949,97191,3029684,8.57,0,1,3,4,0,0,0,0,36,14,18,68
SeatsReservation-REQ3-Claude-Sonnet-3,686,70563,3794163,91784,3957196,8.49,0,1,1,2,0,0,0,0,18,22,17,57
SeatsReservation-REQ3-Gemini-Flash-1,4165940,75352,3677394,0,7918686,7.09,0,5,13,18,10,23,15,48,1199,1157,1274,3630
SeatsReservation-REQ3-Gemini-Flash-2,480850,10707,413394,0,904951,4.83,0,0,0,0,0,0,0,0,3,2,22,27
SeatsReservation-REQ3-Gemini-Flash-3,4471612,54188,3991877,0,8517677,4.52,0,7,27,34,18,64,18,100,1705,1570,1935,5210
SeatsReservation-REQ4-Claude-Haiku-1,242,34991,1838080,80204,1953517,8.05,0,0,0,0,8,0,0,8,20,35,0,55
SeatsReservation-REQ4-Claude-Haiku-2,274,31967,1887931,41561,1961733,8.54,0,6,16,22,17,41,23,81,1824,1419,1798,5041
SeatsReservation-REQ4-Claude-Haiku-3,226,33630,1555569,43167,1632592,7.84,1,0,1,2,0,1,0,1,14,32,0,46
SeatsReservation-REQ4-Claude-Haiku-4,242,31770,1615942,40796,1688750,8.27,0,1,2,3,0,0,0,0,2,26,8,36
SeatsReservation-REQ4-Claude-Haiku-5,250,42518,1900210,56247,1999225,NaN,0,0,1,1,0,0,0,0,8,28,6,42
SeatsReservation-REQ4-Claude-Sonnet-1,41,26760,1942426,50997,2020224,7.70,0,0,1,1,0,0,0,0,43,46,28,117
SeatsReservation-REQ4-Claude-Sonnet-2,71,73804,5965336,96972,6136183,7.48,0,0,1,1,0,0,0,0,25,55,52,132
SeatsReservation-REQ4-Claude-Sonnet-3,40,31101,2049498,59906,2140545,7.92,0,0,0,0,0,0,0,0,0,0,0,0
SeatsReservation-REQ4-Gemini-Flash-1,4416341,40242,3972043,0,8428626,7.30,0,5,13,18,11,32,15,58,1219,1181,1292,3692
SeatsReservation-REQ4-Gemini-Flash-2,2122960,33553,1982688,0,4139201,4.74,0,0,1,1,0,0,0,0,19,29,33,81
SeatsReservation-REQ4-Gemini-Flash-3,2363997,32618,2002892,0,4399507,6.37,0,0,2,2,0,1,0,1,1,0,10,11


